,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,66.0,34.0,0.3199999968,0.10416666655815972,22.25609756097561,0.2843835616438356,9.016192449047779,22.25609756097561,519.0,960.0,1.9517808219178083,1.0,5.573150684931507
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58.0,37.0,0.22105262925207758,0.1739926736740061,17.901234567901234,0.1820689655172414,7.233321413367391,17.901234567901234,264.0,546.0,1.6641379310344828,7.0,4.7427586206896555
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64.0,35.0,0.29292928997041123,0.12147239248899093,18.641304347826086,0.28104956268221576,7.568941564203321,18.641304347826086,482.0,815.0,1.926530612244898,3.0,5.3533527696793
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,59.0,27.0,0.372093018929151,0.14453781488312972,15.586538461538462,0.19247378161628625,6.311604897261899,15.586538461538462,312.0,595.0,1.717458359037631,17.0,4.809993830968538
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,58.0,25.0,0.3975903566555379,0.11495844859424037,21.404761904761905,0.20912124582869857,8.645553260236241,21.404761904761905,376.0,722.0,1.764182424916574,16.0,5.006117908787542
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,43.0,25.0,0.26470587846020766,0.1322957195869733,21.25423728813559,0.20015948963317384,8.581758711107506,21.25423728813559,251.0,514.0,1.7248803827751196,21.0,4.921850079744817
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22.0,11.0,0.33333332323232356,0.10185185153749429,15.957446808510639,0.23866666666666667,6.478445390070923,15.957446808510639,179.0,324.0,1.78,7.0,5.046666666666667
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,,,,,,,,,,,,,
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32.0,13.0,0.4222222128395064,0.15254237236426316,19.64864864864865,0.18019257221458046,7.931536488345292,19.64864864864865,131.0,295.0,1.6368638239339752,2.0,4.7372764786795045
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,64.0,34.0,0.30612244585589343,0.10816777030003558,23.229166666666668,0.2147982062780269,9.377585949177877,23.229166666666668,479.0,906.0,1.7551569506726457,11.0,4.826905829596413
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,44.0,55.0,-0.11111110998877667,0.11511627893591131,17.62037037037037,0.23384130320546506,7.141684669430335,17.62037037037037,445.0,860.0,1.7940094587493431,1.0,4.985286389910668
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,32.0,23.0,0.16363636066115708,0.09649122790089258,17.071428571428573,0.2778242677824268,6.939701135684401,17.071428571428573,332.0,570.0,1.9179916317991632,10.0,5.402510460251046
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33.0,29.0,0.06451612799167536,0.11231884037623399,15.53012048192771,0.21489526764934058,6.298006299830821,15.53012048192771,277.0,552.0,1.7377812257564003,6.0,4.951900698215671
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,55.0,24.0,0.3924050583239866,0.12803889768551233,26.761904761904763,0.1915776986951364,10.781392984239961,26.761904761904763,323.0,617.0,1.6809015421115066,32.0,4.734875444839858
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,59.0,20.0,0.4936708798269509,0.12024353101941623,17.76086956521739,0.21725826193390452,7.191251130860518,17.76086956521739,355.0,657.0,1.788249694002448,11.0,5.037331701346389
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24.0,0.0,0.999999958333335,0.09716599150944943,22.565217391304348,0.28901734104046245,9.141693892937925,22.565217391304348,150.0,247.0,1.928709055876686,0.0,5.329479768786127
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,75.0,39.0,0.31578947091412746,0.17040358718923232,184.8,0.19264069264069264,73.99705627705627,184.8,356.0,669.0,1.6823593073593073,15.0,4.7435064935064934
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,17.0,0.0,0.999999941176474,0.049853372287820025,13.909090909090908,0.26143790849673204,5.668211527035057,13.909090909090908,200.0,341.0,1.8065359477124183,0.0,5.050980392156863
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15.0,5.0,0.4999999750000012,0.05813953471471066,17.73170731707317,0.29298486932599727,7.209876874559668,17.73170731707317,213.0,344.0,1.9325997248968363,1.0,5.419532324621733
